[(1,'https://s-media-cache-ak0.pinimg.com/736x/7e/f2/6e/7ef26ecdbb37c83ace1ec3b2472688e6.jpg','https://www.pinterest.com/pin/189714203028631549','189714203028631549','faux floor tile'),
(44,'http://versehead.com/wp-content/uploads/furniture-ultimate-rug-co-small-faux-sheepskin-rug-with-mahogany-wood-tile-floor-and-white-leather-sofa-magnificent-faux-sheepskin-rug.jpg','http://versehead.com/magnificent-faux-sheepskin-rug/ultimate-rug-co-small-faux-sheepskin-rug-with-mahogany-wood-tile-floor-and-white-leather-sofa','ultimate rug co small faux sheepskin rug with mahogany wood tile floor and white leather sofa','faux floor tile'),
(45,'http://www.trendsfloor.com/wp-content/uploads/2014/10/tile-flooring-wood-n5pulb4j.jpg','http://www.trendsfloor.com/tile-flooring/faux-wood-ceramic-tile-flooring-ceramic-tile-flooring','faux wood ceramic tile flooring ceramic tile flooring','faux floor tile'),
(46,'http://tovtov.com/wp-content/uploads/inspiration-flooring-unique-white-armless-chairs-on-dark-fake-wood-installation-with-porcelain-wood-tile-in-modern-living-areas-modern-furnishing-ideas-best-29-porcelain-wood-tile-pictures-styles-an.jpg','http://tovtov.com/29-porcelain-wood-tile-pictures-styles-design-ideas/outstanding-gloss-brown-laminate-wooden-floors-ideas-with-porcelain-wood-tile-as-rustic-floor-designs','outstanding gloss brown laminate wooden floors ideas with porcelain wood tile as rustic floor designs','faux floor tile'),
(47,'http://rolemodelmovement.com/i/2014/10/home-design-mural-shop-faux-wood-floor-fascinating-imitation-wood-flooring-decoration-inspirations-faux-wood-flooring-tiles-fake-wood-flooring-cost-faux-wood-flooring-for-photography-915x686.jpg','http://rolemodelmovement.com/fascinating-imitation-wood-flooring-inspirations/mural-shop-faux-wood-floor-3','mural shop faux wood floor 3','faux floor tile'),
(48,'http://i.ytimg.com/vi/G_U7d-6ZFmQ/maxresdefault.jpg','http://www.youtube.com/watch?v%3DG_U7d-6ZFmQ','watch?v%3DG_U7d 6ZFmQ','faux floor tile'),
(49,'http://onelowell.net/g/2014/11/interior-design-fake-wood-floor-painting-and-instalationtips-with-brown-wall-fake-wood-flooring-types-options-and-color-ideas-laminate-flooring-for-bathroom-and-kitchen-laminate-floor-tiles-laminate.jpg','http://onelowell.net/6396/fake-wood-flooring-types-options-and-color-ideas/very-popular-brown-gloss-porcelain-wood-tile-with-fake-wooden-in-kitchen-with-brown-cabinet','very popular brown gloss porcelain wood tile with fake wooden in kitchen with brown cabinet','faux floor tile'),
(50,'http://photos1.blogger.com/blogger/1659/2786/1600/tile%252520floor.0.jpg','http://theartfuldragonfly.blogspot.com/2006_04_01_archive.html','2006_04_01_archive.html','faux floor tile'),
(51,'http://www.reddingtile.com/media/redding-ca-faux-marble-tile-in-custom-shower.jpg','http://www.reddingtile.com/portfolio/faux-marble-custom-tile-bathroom-floor-and-shower','faux marble custom tile bathroom floor and shower','faux floor tile'),
(52,'http://4.bp.blogspot.com/-e0brhv3PGzc/TyFheIQ1C7I/AAAAAAAAAkQ/W44Z5mcwiW8/s640/DSC_0918.jpg','http://www.postcardsfromtheridge.com/2012/01/diy-faux-painted-tile-floor-aka-just.html','diy faux painted tile floor aka just.html','faux floor tile'),
(53,'http://tovtov.com/wp-content/uploads/inspiration-flooring-spectacular-white-porcelain-pedestal-sink-with-white-oval-double-ended-chrome-feet-bathtub-on-dark-fake-wood-tiles-and-white-porcelain-half-wall-panels-feat-porcelain-wood-tile-i.jpg','http://tovtov.com/29-porcelain-wood-tile-pictures-styles-design-ideas/awesome-three-seater-black-faux-leather-reclining-living-couch-feat-rectangle-gray-carpet-on-porcelain-wood-tile-in-brown-as-decorate-gray-living-areas-designs','awesome three seater black faux leather reclining living couch feat rectangle gray carpet on porcelain wood tile in brown as decorate gray living areas designs','faux floor tile'),
(54,'http://www.thistlewoodfarms.com/wp-content/uploads/2013/04/Peel-and-stick-tile-floor.jpg','http://www.thistlewoodfarms.com/the-butlers-pantry-flooring-for-under-100','the butlers pantry flooring for under 100','faux floor tile'),
(55,'http://dajeej.com/wp-content/uploads/2014/12/interior-design-bathroom-white-patterns-ceramic-shower-floor-tile-with-faux-stones-wall-tile-as-walk-in-shower-decors-views-fancy-shower-floor-tile-and-wall-tile-bathroom-designs.JPG','http://dajeej.com/fancy-shower-floor-tile-and-wall-tile-bathroom-designs/white-patterns-ceramic-shower-floor-tile-with-faux-stones-wall-tile-as-walk-in-shower-decors-views','white patterns ceramic shower floor tile with faux stones wall tile as walk in shower decors views','faux floor tile'),
(56,'http://4.bp.blogspot.com/-qpNxbfgjMjg/U-kyjjOxcMI/AAAAAAAAWwQ/N-Gwsg1lYj4/s1600/IMG_0359.jpg','http://www.theuniquenest.com/2014/08/master-bath-wall-art-tour.html','master bath wall art tour.html','faux floor tile'),
(57,'http://www.blogfogg.com/wp-content/uploads/2015/01/ceramic-tile-in-wood-look-as-alternative-for-hardwood-floors-floor-picture-wood-tile-flooring-reviews.jpg','http://www.blogfogg.com/wood-tile-flooring-reviews/restoration-beauty-faux-wood-tile-flooring-in-the-kitchen','restoration beauty faux wood tile flooring in the kitchen','faux floor tile'),
(58,'http://decozt.com/wp-content/uploads/2014/09/besf-of-ideas-installing-floors-cost-parquet-linoleum-of-wooden-plank-planks-tiles-floor-tile-tiled-tile-floors-tile-tile-tiling-tiles-cheap-faux-floor-faux-faux-wood-floors-faux-cost-wood-floor-solid-fo.jpg','http://decozt.com/a-deeper-look-into-the-battle-between-laminate-vs-wood-floors-in-livingroom/installing-floors-cost-parquet-linoleum-of-wooden-plank-planks-tiles-floor-tile-tiled-tile-floors-tile-tile-tiling-tiles-cheap-faux-floor-faux-faux-wood-floors-faux-cost-wood-floor-solid-for-wood','installing floors cost parquet linoleum of wooden plank planks tiles floor tile tiled tile floors tile tile tiling tiles cheap faux floor faux faux wood floors faux cost wood floor solid for wood','faux floor tile'),
(59,'http://www.reutterporcelain.com/images/WM34733_750.jpg','http://www.reutterporcelain.com/worldmodel/black-white-faux-marble-floor-tile-pack-wm34733.asp','black white faux marble floor tile pack wm34733.asp','faux floor tile'),
(60,'http://server1.oghhk.com/images/cdn.freshome.com/wp-content/uploads/2011/08/1047971281_izHR7-L.jpg','http://oghhk.com/faux-leather-wall-tiles-with-wall-lights/48/brick-300-600-faux-leather-indoor-wall-tile-floor-tiles-bathroom-tile','brick 300 600 faux leather indoor wall tile floor tiles bathroom tile','faux floor tile'),
(61,'http://homemadehandmade.files.wordpress.com/2013/01/p10100182.jpg','http://homemade-handmade.net/2013/01','01','faux floor tile'),
(62,'http://thewholedamnhouse.files.wordpress.com/2014/10/img_2052.jpg','http://thewholedamnhouse.com/2014/10/07/get-on-the-floor','get on the floor','faux floor tile'),
(63,'http://mijagarcia.com/wp-content/uploads/2014/09/furniture-stylish-black-white-brown-faux-cowhide-rug-with-transparent-plastic-table-and-mahogany-wood-tile-floor-cottage-faux-cowhide-rug.jpg','http://mijagarcia.com/cottage-faux-cowhide-rug/stylish-black-white-brown-faux-cowhide-rug-with-transparent-plastic-table-and-mahogany-wood-tile-floor','stylish black white brown faux cowhide rug with transparent plastic table and mahogany wood tile floor','faux floor tile'),
