(34,'http://www.restoredstyle.com/website/wp-content/uploads/2010/07/table-after2.jpg','http://www.restoredstyle.com/diy-outdoor-dining-table','diy outdoor dining table','outdoor furniture diy'),
(35,'http://www.shanty-2-chic.com/wp-content/uploads/2013/05/DIY-Table-Pottery-Barn-Inspired.jpg','http://www.shanty-2-chic.com/2013/05/diy-table-pottery-barn-inspired.html','diy table pottery barn inspired.html','outdoor furniture diy'),
(36,'http://colororigin.com/images/img10/diy-wood-patio-furniture-inspiration-decorating-3.jpg','http://colororigin.com/diy-wood-patio-furniture-design-decorating-4-10685-design.html','diy wood patio furniture design decorating 4 10685 design.html','outdoor furniture diy'),
(37,'http://francotechnogap.com/images/beltempo-outdoor-furniture-deck-chair-Wonderful-patio-design-Alluring-woodard-outdoor-patio-furniture-Futuristic-Style.jpg','http://francotechnogap.com/divine-diy-patio-furniture-inner-lovable-world-market-patio-furniture-unusual-possessions-initiative/beltempo-outdoor-furniture-deck-chair-wonderful-patio-design-alluring-woodard-outdoor-patio-furniture-futuristic-style-5','beltempo outdoor furniture deck chair wonderful patio design alluring woodard outdoor patio furniture futuristic style 5','outdoor furniture diy'),
(38,'http://theweekendhomemaker.com/wp-content/uploads/2013/03/Collage4.jpg','http://theweekendhomemaker.com/revive-paint-diy-spray-paint-projects','revive paint diy spray paint projects','outdoor furniture diy'),
(39,'http://www.shelterness.com/pictures/cool-diy-outdoor-swings.jpg','http://www.shelterness.com/search/PALLETS/page/4','4','outdoor furniture diy'),
(40,'http://www.amittenfullofsavings.com/wp-content/uploads/2013/08/diy-outdoor-table-started-from-the-bottom.jpg','http://www.amittenfullofsavings.com/diy-outdoor-dining-table-from-wood-pallets','diy outdoor dining table from wood pallets','outdoor furniture diy'),
(41,'http://1.bp.blogspot.com/-2_yq9X5gbCQ/T_Mn8tAjHRI/AAAAAAAAAIk/DLNxlFUyOmU/s1600/yard%252Band%252Bchairs%252B015.JPG','http://simplemindedkat.blogspot.com/2012/07/patio-furniture-repair-easy-diy.html','patio furniture repair easy diy.html','outdoor furniture diy'),
(42,'http://www.pinktruckpools.com/wp-content/uploads/2014/04/wooden-pallet-patio-furniture.jpg','http://www.decodir.com/diy-pallet-outdoor-furniture','diy pallet outdoor furniture','outdoor furniture diy'),
(43,'http://adelightfulplacetodwell.com/wp-content/uploads/2013/07/Chair-Collage.jpg','http://adelightfulplacetodwell.com/diy-projects/staining-outdoor-furniture-diy','staining outdoor furniture diy','outdoor furniture diy'),
